#queryIndex,queryItem,stringId,preferredName,annotation
21,SRPX2,9606.ENSP00000362095,SRPX2,"Sushi repeat-containing protein SRPX2; Acts as a ligand for the urokinase plasminogen activator surface receptor. Plays a role in angiogenesis by inducing endothelial cell migration and the formation of vascular network (cords). Involved in cellular migration and adhesion. Increases the phosphorylation levels of FAK. Interacts with and increases the mitogenic activity of HGF. Promotes synapse formation. May have a role in the perisylvian region, critical for language and cognitive development."
22,RAMP1,9606.ENSP00000254661,RAMP1,Receptor activity-modifying protein 1; Transports the calcitonin gene-related peptide type 1 receptor (CALCRL) to the plasma membrane. Acts as a receptor for calcitonin-gene-related peptide (CGRP) together with CALCRL.
23,RAMP2,9606.ENSP00000253796,RAMP2,Receptor activity-modifying protein 2; Transports the calcitonin gene-related peptide type 1 receptor (CALCRL) to the plasma membrane. Acts as a receptor for adrenomedullin (AM) together with CALCRL; Belongs to the RAMP family.
24,PDCD6,9606.ENSP00000264933,PDCD6,"Programmed cell death protein 6; Calcium sensor that plays a key role in processes such as endoplasmic reticulum (ER)-Golgi vesicular transport, endosomal biogenesis or membrane repair. Acts as an adapter that bridges unrelated proteins or stabilizes weak protein-protein complexes in response to calcium: calcium-binding triggers exposure of apolar surface, promoting interaction with different sets of proteins thanks to 3 different hydrophobic pockets, leading to translocation to membranes. Involved in ER-Golgi transport by promoting the association between PDCD6IP and TSG101, thereby b [...] "
25,VPS4B,9606.ENSP00000238497,VPS4B,"Vacuolar protein sorting-associated protein 4B; Involved in late steps of the endosomal multivesicular bodies (MVB) pathway. Recognizes membrane-associated ESCRT-III assemblies and catalyzes their disassembly, possibly in combination with membrane fission. Redistributes the ESCRT-III components to the cytoplasm for further rounds of MVB sorting. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth fact [...] "
26,FGF18,9606.ENSP00000274625,FGF18,"Fibroblast growth factor 18; Plays an important role in the regulation of cell proliferation, cell differentiation and cell migration. Required for normal ossification and bone development. Stimulates hepatic and intestinal proliferation."
27,RAPGEF3,9606.ENSP00000395708,RAPGEF3,"Rap guanine nucleotide exchange factor 3; Guanine nucleotide exchange factor (GEF) for RAP1A and RAP2A small GTPases that is activated by binding cAMP. Through simultaneous binding of PDE3B to RAPGEF3 and PIK3R6 is assembled in a signaling complex in which it activates the PI3K gamma complex and which is involved in angiogenesis. Plays a role in the modulation of the cAMP- induced dynamic control of endothelial barrier function through a pathway that is independent on Rho-mediated signaling. Required for the actin rearrangement at cell-cell junctions, such as stress fibers and junction [...] "
28,TSPAN12,9606.ENSP00000222747,TSPAN12,"Tetraspanin-12; Regulator of cell surface receptor signal transduction. Plays a central role in retinal vascularization by regulating norrin (NDP) signal transduction. Acts in concert with norrin (NDP) to promote FZD4 multimerization and subsequent activation of FZD4, leading to promote accumulation of beta-catenin (CTNNB1) and stimulate LEF/TCF-mediated transcriptional programs. Suprisingly, it only activate the norrin (NDP)-dependent activation of FZD4, while it does not activate the Wnt- dependent activation of FZD4, suggesting the existence of a Wnt- independent signaling that also [...] "
29,CD160,9606.ENSP00000358294,CD160,"CD160 antigen, soluble form; [CD160 antigen]: Receptor on immune cells capable to deliver stimulatory or inhibitory signals that regulate cell activation and differentiation. Exists as a GPI-anchored and as a transmembrane form, each likely initiating distinct signaling pathways via phosphoinositol 3-kinase in activated NK cells and via LCK and CD247/CD3 zeta chain in activated T cells. Receptor for both classical and non-classical MHC class I molecules. In the context of acute viral infection, recognizes HLA-C and triggers NK cell cytotoxic activity, likely playing a role in anti-vira [...] "
30,HAND1,9606.ENSP00000231121,HAND1,"Heart- and neural crest derivatives-expressed protein 1; Transcription factor that plays an essential role in both trophoblast giant cell differentiation and in cardiac morphogenesis (By similarity). Binds the DNA sequence 5'-NRTCTG-3' (non-canonical E-box) (By similarity). Acts as a transcriptional repressor of SOX15 (By similarity). In the adult, could be required for ongoing expression of cardiac-specific genes."
31,ABL1,9606.ENSP00000361423,ABL1,"Tyrosine-protein kinase ABL1; Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-bindin [...] "
32,EGFR,9606.ENSP00000275493,EGFR,"Epidermal growth factor receptor; Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses. Known ligands include EGF, TGFA/TGF-alpha, AREG, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin- binding EGF. Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates at leas [...] "
33,PDGFB,9606.ENSP00000330382,PDGFB,"Platelet-derived growth factor subunit B; Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal proliferation and recruitment of pericytes and vascular smooth muscle cells in the central nervous system, skin, lung, heart and placenta. Required for normal blood vessel development, and for normal development of kidney glomeruli. Plays an important role in wound healing. Signaling is modulated by the formation of heterodimers wit [...] "
34,EGF,9606.ENSP00000265171,EGF,Pro-epidermal growth factor; EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture. Magnesiotropic hormone that stimulates magnesium reabsorption in the renal distal convoluted tubule via engagement of EGFR and activation of the magnesium channel TRPM6. Can induce neurite outgrowth in motoneurons of the pond snail Lymnaea stagnalis in vitro.
35,TGFA,9606.ENSP00000404131,TGFA,Protransforming growth factor alpha; TGF alpha is a mitogenic polypeptide that is able to bind to the EGF receptor/EGFR and to act synergistically with TGF beta to promote anchorage-independent cell proliferation in soft agar.
36,COL4A1,9606.ENSP00000364979,COL4A1,"Collagen alpha-1(IV) chain; Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen."
37,FN1,9606.ENSP00000346839,FN1,"Fibronectin; Fibronectins bind cell surfaces and various compounds including collagen, fibrin, heparin, DNA, and actin. Fibronectins are involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape. Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process, essential for osteoblast mineralization. Participates in the regulation of type I collagen deposition by osteoblasts."
38,ANG,9606.ENSP00000336762,ANG,"Angiogenin; Binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus. Stimulates ribosomal RNA synthesis including that containing the initiation site sequences of 45S rRNA. Cleaves tRNA within anticodon loops to produce tRNA-derived stress-induced fragments (tiRNAs) which inhibit protein synthesis and triggers the assembly of stress granules (SGs). Angiogenin induces vascularization of normal and malignant tissues. Angiogenic activity is regulated by interaction with RNH1 in vivo."
39,PDGFA,9606.ENSP00000346508,PDGFA,"Platelet-derived growth factor subunit A; Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal lung alveolar septum formation during embryogenesis, normal development of the gastrointestinal tract, normal development of Leydig cells and spermatogenesis. Required for normal oligodendrocyte development and normal myelination in the spinal cord and cerebellum. Plays an important role in wound healing. Signaling is modulated by t [...] "
40,HRG,9606.ENSP00000232003,HRG,"Histidine-rich glycoprotein; Plasma glycoprotein that binds a number of ligands such as heme, heparin, heparan sulfate, thrombospondin, plasminogen, and divalent metal ions. Binds heparin and heparin/glycosaminoglycans in a zinc-dependent manner. Binds heparan sulfate on the surface of liver, lung, kidney and heart endothelial cells. Binds to N-sulfated polysaccharide chains on the surface of liver endothelial cells. Inhibits rosette formation. Acts as an adapter protein and is implicated in regulating many processes such as immune complex and pathogen clearance, cell chemotaxis, cell  [...] "
41,THY1,9606.ENSP00000284240,THY1,Thy-1 membrane glycoprotein; May play a role in cell-cell or cell-ligand interactions during synaptogenesis and other events in the brain.
42,ERBB2,9606.ENSP00000269571,ERBB2,"Receptor tyrosine-protein kinase erbB-2; Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding. Essential component of a neuregulin-receptor complex, although neuregulins do not interact with it alone. GP30 is a potential ligand for this receptor. Regulates outgrowth and stabilization of peripheral microtubules (MTs). Upon ERBB2 activation, the MEMO1-RHOA-DIAPH1 signaling pathway elicits the phosphorylation and thus the inhibition of GSK3B at cell membrane. This prevents the phosphorylation of APC and  [...] "
43,APOD,9606.ENSP00000345179,APOD,Apolipoprotein D; APOD occurs in the macromolecular complex with lecithin- cholesterol acyltransferase. It is probably involved in the transport and binding of bilin. Appears to be able to transport a variety of ligands in a number of different contexts.
44,ITGB3,9606.ENSP00000452786,ITGB3,"Integrin beta-3; Integrin alpha-V/beta-3 (ITGAV:ITGB3) is a receptor for cytotactin, fibronectin, laminin, matrix metalloproteinase-2, osteopontin, osteomodulin, prothrombin, thrombospondin, vitronectin and von Willebrand factor. Integrin alpha-IIb/beta-3 (ITGA2B:ITGB3) is a receptor for fibronectin, fibrinogen, plasminogen, prothrombin, thrombospondin and vitronectin. Integrins alpha-IIb/beta-3 and alpha- V/beta-3 recognize the sequence R-G-D in a wide array of ligands. Integrin alpha-IIb/beta-3 recognizes the sequence H-H-L-G-G-G-A-K-Q-A- G-D-V in fibrinogen gamma chain. Following ac [...] "
45,SERPINE1,9606.ENSP00000223095,SERPINE1,"Plasminogen activator inhibitor 1; Serine protease inhibitor. Inhibits TMPRSS7. Is a primary inhibitor of tissue-type plasminogen activator (PLAT) and urokinase-type plasminogen activator (PLAU). As PLAT inhibitor, it is required for fibrinolysis down-regulation and is responsible for the controlled degradation of blood clots. As PLAU inhibitor, it is involved in the regulation of cell adhesion and spreading. Acts as a regulator of cell migration, independently of its role as protease inhibitor. It is required for stimulation of keratinocyte migration during cutaneous injury repair. It [...] "
46,FGF1,9606.ENSP00000480791,FGF1,"Fibroblast growth factor 1; Plays an important role in the regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Acts as a ligand for FGFR1 and integrins. Binds to FGFR1 in the presence of heparin leading to FGFR1 dimerization and activation via sequential autophosphorylation on tyrosine residues which act as docking sites for interacting proteins, leading to the activation of several signaling cascades. Binds to integrin ITGAV:ITGB3. Its binding to integrin, subsequent ternary complex formation with int [...] "
47,JUN,9606.ENSP00000360266,JUN,Transcription factor AP-1; Transcription factor that recognizes and binds to the enhancer heptamer motif 5'-TGA[CG]TCA-3'. Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation. Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells. Binds to the USP28 promoter in colorectal cancer (CRC) cells. Belongs to the bZIP family. Jun subfamily.
48,ITGB1,9606.ENSP00000379350,ITGB1,"Integrin beta-1; Integrins alpha-1/beta-1, alpha-2/beta-1, alpha-10/beta-1 and alpha-11/beta-1 are receptors for collagen. Integrins alpha-1/beta-1 and alpha-2/beta-2 recognize the proline-hydroxylated sequence G-F-P-G- E-R in collagen. Integrins alpha-2/beta-1, alpha-3/beta-1, alpha- 4/beta-1, alpha-5/beta-1, alpha-8/beta-1, alpha-10/beta-1, alpha- 11/beta-1 and alpha-V/beta-1 are receptors for fibronectin. Alpha- 4/beta-1 recognizes one or more domains within the alternatively spliced CS-1 and CS-5 regions of fibronectin. Integrin alpha-5/beta-1 is a receptor for fibrinogen. Integrin [...] "
49,LCK,9606.ENSP00000477713,LCK,"Tyrosine-protein kinase Lck; Non-receptor tyrosine-protein kinase that plays an essential role in the selection and maturation of developing T-cells in the thymus and in the function of mature T-cells. Plays a key role in T- cell antigen receptor (TCR)-linked signal transduction pathways. Constitutively associated with the cytoplasmic portions of the CD4 and CD8 surface receptors. Association of the TCR with a peptide antigen- bound MHC complex facilitates the interaction of CD4 and CD8 with MHC class II and class I molecules, respectively, thereby recruiting the associated LCK protein [...] "
50,FYN,9606.ENSP00000346671,FYN,"Tyrosine-protein kinase Fyn; Non-receptor tyrosine-protein kinase that plays a role in many biological processes including regulation of cell growth and survival, cell adhesion, integrin-mediated signaling, cytoskeletal remodeling, cell motility, immune response and axon guidance. Inactive FYN is phosphorylated on its C-terminal tail within the catalytic domain. Following activation by PKA, the protein subsequently associates with PTK2/FAK1, allowing PTK2/FAK1 phosphorylation, activation and targeting to focal adhesions. Involved in the regulation of cell adhesion and motility through  [...] "
51,ATP5F1B,9606.ENSP00000262030,ATP5F1B,"ATP synthase subunit beta, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the c [...] "
52,ITGAV,9606.ENSP00000261023,ITGAV,"Integrin alpha-V heavy chain; The alpha-V (ITGAV) integrins are receptors for vitronectin, cytotactin, fibronectin, fibrinogen, laminin, matrix metalloproteinase- 2, osteopontin, osteomodulin, prothrombin, thrombospondin and vWF. They recognize the sequence R-G-D in a wide array of ligands. ITGAV:ITGB3 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1- dependent fractalkine signaling. ITGAV:ITGB3 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling. ITGAV:ITGB3 binds to FGF1 and this binding is essential for FGF1 signaling. ITGAV:ITGB [...] "
53,ANXA2,9606.ENSP00000346032,ANXA2,"Annexin A2; Calcium-regulated membrane-binding protein whose affinity for calcium is greatly enhanced by anionic phospholipids. It binds two calcium ions with high affinity. May be involved in heat-stress response. Inhibits PCSK9-enhanced LDLR degradation, probably reduces PCSK9 protein levels via a translational mechanism but also competes with LDLR for binding with PCSK9 ; Belongs to the annexin family."
54,LYN,9606.ENSP00000428924,LYN,"Tyrosine-protein kinase Lyn; Non-receptor tyrosine-protein kinase that transmits signals from cell surface receptors and plays an important role in the regulation of innate and adaptive immune responses, hematopoiesis, responses to growth factors and cytokines, integrin signaling, but also responses to DNA damage and genotoxic agents. Functions primarily as negative regulator, but can also function as activator, depending on the context. Required for the initiation of the B-cell response, but also for its down-regulation and termination. Plays an important role in the regulation of B-c [...] "
55,THBS1,9606.ENSP00000260356,THBS1,"Thrombospondin-1; Adhesive glycoprotein that mediates cell-to-cell and cell-to- matrix interactions. Binds heparin. May play a role in dentinogenesis and/or maintenance of dentin and dental pulp (By similarity). Ligand for CD36 mediating antiangiogenic properties. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors (By similarity)."
56,MMP2,9606.ENSP00000219070,MMP2,"72 kDa type IV collagenase; Ubiquitinous metalloproteinase that is involved in diverse functions such as remodeling of the vasculature, angiogenesis, tissue repair, tumor invasion, inflammation, and atherosclerotic plaque rupture. As well as degrading extracellular matrix proteins, can also act on several nonmatrix proteins such as big endothelial 1 and beta- type CGRP promoting vasoconstriction. Also cleaves KISS at a Gly-|-Leu bond. Appears to have a role in myocardial cell death pathways. Contributes to myocardial oxidative stress by regulating the activity of GSK3beta. Cleaves GSK3 [...] "
57,ITGA2B,9606.ENSP00000262407,ITGA2B,"Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb/beta-3 is a receptor for fibronectin, fibrinogen, plasminogen, prothrombin, thrombospondin and vitronectin. It recognizes the sequence R-G-D in a wide array of ligands. It recognizes the sequence H-H-L-G-G-G-A-K-Q-A-G-D-V in fibrinogen gamma chain. Following activation integrin alpha-IIb/beta-3 brings about platelet/platelet interaction through binding of soluble fibrinogen. This step leads to rapid platelet aggregation which physically plugs ruptured endothelial cell surface."
58,COL4A2,9606.ENSP00000353654,COL4A2,"Collagen alpha-2(IV) chain; Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen."
59,MET,9606.ENSP00000317272,MET,"Hepatocyte growth factor receptor; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to hepatocyte growth factor/HGF ligand. Regulates many physiological processes including proliferation, scattering, morphogenesis and survival. Ligand binding at the cell surface induces autophosphorylation of MET on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with the PI3-kinase subunit PIK3R1, PLCG1, SRC, GRB2, STAT3 or the adapter GAB1. Recruitment of thes [...] "
60,ITGA5,9606.ENSP00000293379,ITGA5,Integrin alpha-5 heavy chain; Integrin alpha-5/beta-1 (ITGA5:ITGB1) is a receptor for fibronectin and fibrinogen. It recognizes the sequence R-G-D in its ligands. ITGA5:ITGB1 binds to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1. ITGA5:ITGB1 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1. ITGA5:ITGB1 is a receptor for IL1B and binding is essential for IL1B signaling. ITGA5:ITGB3 is a receptor for soluble CD [...] 
61,FGF2,9606.ENSP00000264498,FGF2,"Fibroblast growth factor 2; Acts as a ligand for FGFR1, FGFR2, FGFR3 and FGFR4. Also acts as an integrin ligand which is required for FGF2 signaling. Binds to integrin ITGAV:ITGB3. Plays an important role in the regulation of cell survival, cell division, cell differentiation and cell migration. Functions as a potent mitogen in vitro. Can induce angiogenesis."
62,HMOX1,9606.ENSP00000216117,HMOX1,"Heme oxygenase 1; Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed. Exhibits cytoprotective effects since excess of free heme sensitizes cells to undergo apoptosis."
63,PDGFRB,9606.ENSP00000261799,PDGFRB,"Platelet-derived growth factor receptor beta; Tyrosine-protein kinase that acts as cell-surface receptor for homodimeric PDGFB and PDGFD and for heterodimers formed by PDGFA and PDGFB, and plays an essential role in the regulation of embryonic development, cell proliferation, survival, differentiation, chemotaxis and migration. Plays an essential role in blood vessel development by promoting proliferation, migration and recruitment of pericytes and smooth muscle cells to endothelial cells. Plays a role in the migration of vascular smooth muscle cells and the formation of neointima at v [...] "
64,APELA,9606.ENSP00000484618,APELA,"Apelin receptor early endogenous ligand; Endogenous ligand for the apelin receptor (APLNR). Hormone required for mesendodermal differentiation, blood vessels formation and heart morphogenesis during early development and for adult cardiovascular homeostasis. Drives internalization of APLNR. Acts as a motogen by promoting mesendodermal cell migration during gastrulation by binding and activating APLNR. Acts as an early embryonic regulator of cellular movement with a role in migration and development of cardiac progenitor cells. May act as a chemoattractant for the activation of angiobla [...] "
65,CXCL8,9606.ENSP00000306512,CXCL8,"Interleukin-8; IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes. It is also involved in neutrophil activation. It is released from several cell types in response to an inflammatory stimulus. IL-8(6-77) has a 5-10-fold higher activity on neutrophil activation, IL-8(5-77) has increased activity on neutrophil activation and IL-8(7-77) has a higher affinity to receptors CXCR1 and CXCR2 as compared to IL-8(1-77), respectively."
66,KIT,9606.ENSP00000288135,KIT,"Mast/stem cell growth factor receptor Kit; Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activat [...] "
67,FGF6,9606.ENSP00000228837,FGF6,"Fibroblast growth factor 6; Plays an important role in the regulation of cell proliferation, cell differentiation, angiogenesis and myogenesis, and is required for normal muscle regeneration. Belongs to the heparin-binding growth factors family."
68,FGFR1,9606.ENSP00000393312,FGFR1,"Fibroblast growth factor receptor 1; Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of embryonic development, cell proliferation, differentiation and migration. Required for normal mesoderm patterning and correct axial organization during embryonic development, normal skeletogenesis and normal development of the gonadotropin-releasing hormone (GnRH) neuronal system. Phosphorylates PLCG1, FRS2, GAB1 and SHB. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 lea [...] "
69,BMP4,9606.ENSP00000245451,BMP4,"Bone morphogenetic protein 4; Induces cartilage and bone formation. Also acts in mesoderm induction, tooth development, limb formation and fracture repair. Acts in concert with PTHLH/PTHRP to stimulate ductal outgrowth during embryonic mammary development and to inhibit hair follicle induction (By similarity)."
