adr_id,adr_term,source
C0085649,Oedema peripheral,SIDER
C0151735,Injection site reaction,SIDER
C0151736,Accidental injury,SIDER
C3263723,Injury,SIDER
C0152020,Gastric atony,SIDER
C0522063,Impaired gastric emptying,SIDER
C0231528,Myalgia,SIDER
C0948594,Musculoskeletal discomfort,SIDER
C0426576,Gastrointestinal symptom NOS,SIDER
C0522055,Electrocardiogram abnormal,SIDER
C0546817,Fluid overload,SIDER
C0917801,Insomnia,SIDER
C0947912,Myasthenia,SIDER
C0151786,Muscular weakness,SIDER
C1510472,Drug dependence,SIDER
C0002792,Anaphylactic shock,SIDER
C0002994,Angioedema,SIDER
C0042109,Urticaria,SIDER
C0863083,Injection site tenderness,SIDER
C0151828,Injection site pain,SIDER
C0003537,Aphasia,SIDER
C0004936,Mental disorder,SIDER
C0006118,Brain neoplasm,SIDER
C0013604,Oedema,SIDER
C0015256,Excoriation,SIDER
C0017638,Glioma,SIDER
C0018799,Cardiac disorder,SIDER
C0018979,Hemianopia,SIDER
C0018989,Hemiparesis,SIDER
C0019348,Herpes simplex,SIDER
C0020429,Hyperpathia,SIDER
C0020453,Hyperaesthesia,SIDER
C0020580,Hypoaesthesia,SIDER
C0023518,Leukocytosis,SIDER
C0027651,Neoplasm,SIDER
C0027765,Nervous system disorder,SIDER
C0027769,Nervousness,SIDER
C0233494,Tension,SIDER
C0031256,Petechiae,SIDER
C0035229,Respiratory insufficiency,SIDER
C1145670,Respiratory failure,SIDER
C0036508,Seborrhoeic dermatitis,SIDER
C0037274,Skin disorder,SIDER
C0038814,Sunburn,SIDER
C0162830,Photosensitivity reaction,SIDER
C0040034,Thrombocytopenia,SIDER
C0040038,Thromboembolism,SIDER
C0013922,Embolism,SIDER
C0340726,Embolism venous,SIDER
C0041582,Ulcer,SIDER
C0041834,Erythema,SIDER
C0085593,Chills,SIDER
C0085641,Rash pustular,SIDER
C0151505,Application site reaction,SIDER
C0151662,Gamma-glutamyltransferase increased,SIDER
C0151717,Skin hypertrophy,SIDER
C0151904,Aspartate aminotransferase increased,SIDER
C0151905,Alanine aminotransferase increased,SIDER
C0151908,Dry skin,SIDER
C0162285,Eyelid oedema,SIDER
C0162834,Skin hyperpigmentation,SIDER
C0162835,Leukoderma,SIDER
C0178298,Unspecified disorder of skin and subcutaneous tissue,SIDER
C0205204,Scab,SIDER
C0221232,Welts,SIDER
C0234215,Discomfort,SIDER
C0234233,Tenderness,SIDER
C0237849,Skin exfoliation,SIDER
C0241157,Pustule,SIDER
C0241166,Skin tightness,SIDER
C0267792,Hepatobiliary disease,SIDER
C0311468,Blood bilirubin increased,SIDER
C0332534,Induration,SIDER
C0349506,Photosensitivity,SIDER
C0392197,Warmth,SIDER
C2939147,Feeling hot,SIDER
C0392699,Dysaesthesia,SIDER
C0406834,Wound secretion,SIDER
C0423791,Rash maculo-papular,SIDER
C0521490,Application site irritation,SIDER
C0677500,Stinging,SIDER
C0699893,Skin carcinoma,SIDER
C0007114,Skin cancer,SIDER
C0702166,Acne,SIDER
C0851341,Infestation NOS,SIDER
C1384353,Infestation,SIDER
C0852913,Blood amylase increased,SIDER
C0151479,Amylase increased,SIDER
C0857807,Accidental ingestion,SIDER
C3544060,Accidental exposure to product,SIDER
C0870082,Hyperkeratosis,SIDER
C0920193,Photodermatosis,SIDER
C1527311,Brain oedema,SIDER
C1698818,Photodamaged skin,SIDER
C0002170,Alopecia,SIDER
C0015376,Extravasation,SIDER
C0015672,Fatigue,SIDER
C0023380,Lethargy,SIDER
C0023530,Leukopenia,SIDER
C0038362,Stomatitis,SIDER
C0043144,Wheezing,SIDER
C0231218,Malaise,SIDER
C1443060,Feeling abnormal,SIDER
C2047937,Ill-defined disorder,SIDER
C0340865,Anaphylactoid reaction,SIDER
C0700225,Serum creatinine increased,SIDER
C0235431,Blood creatinine increased,SIDER
C0746883,Febrile neutropenia,SIDER
C1325847,Sensitisation,SIDER
C2609414,Acute kidney injury,SIDER
C0022660,Renal failure acute,SIDER
C0039070,Syncope,SIDER
C0041657,Loss of consciousness,SIDER
C0036974,Shock,SIDER
C0009676,Confusional state,SIDER
C0151746,Kidney function abnormal,SIDER
C1565489,Renal impairment,SIDER
C0232492,Abdominal pain upper,SIDER
C0232495,Abdominal pain lower,SIDER
C0232498,Abdominal tenderness,SIDER
C0242656,Disease progression,SIDER
C0267537,Caecitis,SIDER
C0424790,Rigors,SIDER
C0442874,Neuropathy,SIDER
C0031117,Neuropathy peripheral,SIDER
C0000832,Premature separation of placenta,SIDER
C0003862,Arthralgia,SIDER
C0004096,Asthma,SIDER
C0006266,Bronchospasm,SIDER
C0011175,Dehydration,SIDER
C0012739,Disseminated intravascular coagulation,SIDER
C0013927,Amniotic fluid embolism,SIDER
C1868769,Anaphylactoid syndrome of pregnancy,SIDER
C0014179,Endometritis,SIDER
C0015930,Foetal distress syndrome,SIDER
C0016382,Flushing,SIDER
C0018790,Cardiac arrest,SIDER
C0018811,Foetal heart rate,SIDER
C0019521,Hiccups,SIDER
C0021053,Immune system disorder,SIDER
C0021368,Inflammation,SIDER
C0023067,Laryngitis,SIDER
C0026821,Cramp muscle,SIDER
C0027051,Myocardial infarction,SIDER
C0948089,Acute coronary syndrome,SIDER
C0032797,Postpartum haemorrhage,SIDER
C0032961,Pregnancy,SIDER
C0036973,Shivering,SIDER
C0040822,Tremor,SIDER
C0042143,Uterine rupture,SIDER
C0042267,Vaginal inflammation,SIDER
C0404521,Vaginal infection,SIDER
C0042996,Vulvitis,SIDER
C0079043,Bronchoconstriction,SIDER
C0080274,Urinary retention,SIDER
C0151315,Neck stiffness,SIDER
C0948525,Musculoskeletal stiffness,SIDER
C1320474,Nuchal rigidity,SIDER
C0151604,Oedema genital,SIDER
C0151827,Eye pain,SIDER
C0151907,Skin discolouration,SIDER
C0232292,Chest tightness,SIDER
C0235710,Chest discomfort,SIDER
C0236082,Vaginal pain,SIDER
C0520588,Vulvovaginal pain,SIDER
C0262397,Breast tenderness,SIDER
C0269806,Failed induction of labour,SIDER
C0269842,Uterine hypertonus,SIDER
C0344232,Vision blurred,SIDER
C0392618,Postoperative infection,SIDER
C1868855,Post procedural infection,SIDER
C0410916,Death neonatal,SIDER
C0424535,Vasovagal symptoms,SIDER
C0700200,Presyncope,SIDER
C0558368,Vaginal irritation,SIDER
C0520587,Vulvovaginal discomfort,SIDER
C0595939,Stillbirth,SIDER
C0600142,Hot flush,SIDER
C0236075,Menopausal symptoms,SIDER
C0700590,Sweating increased,SIDER
C0020458,Hyperhidrosis,SIDER
C1384666,Hearing impaired,SIDER
C0011053,Deafness,SIDER
C2004487,Vaginismus,SIDER
C0003864,Arthritis,SIDER
C0003962,Ascites,SIDER
C0007642,Cellulitis,SIDER
C0007859,Neck pain,SIDER
C0009326,Collagen disorder,SIDER
C0009782,Connective tissue disorder,SIDER
C0010520,Cyanosis,SIDER
C0013595,Eczema,SIDER
C0014130,Endocrine disorder,SIDER
C0014591,Epistaxis,SIDER
C0016204,Flatulence,SIDER
C0018801,Cardiac failure,SIDER
C0018965,Haematuria,SIDER
C0019123,Haemothorax,SIDER
C0020532,Hypersplenism,SIDER
C0020550,Hyperthyroidism,SIDER
C0020651,Orthostatic hypotension,SIDER
C0025061,Mediastinal disorder,SIDER
C0026858,Musculoskeletal pain,SIDER
C0030232,Pallor,SIDER
C0030312,Pancytopenia,SIDER
C0032227,Pleural effusion,SIDER
C0032285,Pneumonia,SIDER
C0032326,Pneumothorax,SIDER
C0034063,Pulmonary oedema,SIDER
C0034065,Pulmonary embolism,SIDER
C0036690,Septicemia,SIDER
C0243026,Sepsis,SIDER
C0037299,Skin ulcer,SIDER
C0038002,Splenomegaly,SIDER
C0038990,Sweating,SIDER
C0039971,Thirst,SIDER
C0042401,Vasodilation,SIDER
C1142412,Vasodilation procedure,SIDER
C0043352,Dry mouth,SIDER
C0085096,Peripheral vascular disorder,SIDER
C0085605,Hepatic failure,SIDER
C0085631,Agitation,SIDER
C0086525,Lassitude,SIDER
C0232487,Abdominal discomfort,SIDER
C0232488,Abdominal colic,SIDER
C0235527,Cardiac failure right,SIDER
C2939447,Right ventricular failure,SIDER
C0236000,Pain in jaw,SIDER
C0242184,Hypoxia,SIDER
C0267596,Rectal haemorrhage,SIDER
C0270458,Psychotic depression,SIDER
C1269683,Major depression,SIDER
C0392025,Enlargement abdomen,SIDER
C0000731,Abdominal distension,SIDER
C0392171,Influenza-like symptoms,SIDER
C0521839,Influenza like illness,SIDER
C0392386,Platelet count decreased,SIDER
C0424295,Hyperkinesia,SIDER
C0428977,Bradycardia,SIDER
C0521491,Application site pain,SIDER
C0858797,Instillation site pain,SIDER
C0860239,Catheter related infection,SIDER
C1619702,Device related infection,SIDER
C1141861,Procedural complication,SIDER
C1285577,Acute confusional state,SIDER
C2830004,Somnolence,SIDER
C0002631,Amniotic cavity infection,SIDER
C0015944,Premature rupture of membranes,SIDER
C0410959,Foetal acidosis,SIDER
C0001122,Acidosis,SIDER
C0020488,Hypernatraemia,SIDER
C0010037,Corneal oedema,SIDER
C0010038,Corneal opacity,SIDER
C0948284,Corneal decompensation,SIDER
C0003578,Apnoea,SIDER
C0004245,Atrioventricular block,SIDER
C0013144,Drowsiness,SIDER
C0020578,Hyperventilation,SIDER
C0027424,Nasal congestion,SIDER
C0028643,Numbness,SIDER
C0278134,Sensory loss,SIDER
C0033036,Supraventricular extrasystoles,SIDER
C0036454,Scotoma,SIDER
C0037188,Sinoatrial block,SIDER
C2747891,Device capturing issue,SIDER
C0038454,Cerebrovascular accident,SIDER
C0039239,Sinus tachycardia,SIDER
C0040264,Tinnitus,SIDER
C0040479,Torsade de pointes,SIDER
C0042510,Ventricular fibrillation,SIDER
C0042514,Ventricular tachycardia,SIDER
C0085606,Micturition urgency,SIDER
C0042023,Pollakiuria,SIDER
C0085612,Ventricular arrhythmia,SIDER
C0085614,Atrioventricular block first degree,SIDER
C0085624,Burning sensation,SIDER
C0085633,Mood swings,SIDER
C0233472,Affect lability,SIDER
C0151517,Atrioventricular block complete,SIDER
C0151636,Ventricular extrasystoles,SIDER
C0151699,Haemorrhage intracranial,SIDER
C0151740,Intracranial pressure increased,SIDER
C0151744,Myocardial ischaemia,SIDER
C0162297,Respiratory arrest,SIDER
C0220870,Fatal outcomes,SIDER
C0232124,Lightheadedness,SIDER
C0340464,Skipped beats,SIDER
C0233485,Extrasystoles,SIDER
C0235004,Apprehension,SIDER
C0235169,Head pressure,SIDER
C0235706,Excitability,SIDER
C0236071,Back distress,SIDER
C0240327,Throat tightness,SIDER
C0264906,Taste metallic,SIDER
C0438716,Atrioventricular block second degree,SIDER
C0494475,Chest pressure,SIDER
C0014549,Tonic-clonic seizures,SIDER
C0497247,Grand mal convulsion,SIDER
C0520886,Blood pressure increased,SIDER
C0520887,Electrocardiogram ST segment elevation,SIDER
C0541782,Electrocardiogram ST segment depression,SIDER
C0750194,Sinus arrest,SIDER
C0854303,Non-sustained ventricular tachycardia,SIDER
C0857153,Limb discomfort,SIDER
C0858924,Nodal block,SIDER
C0948296,General discomfort,SIDER
C1096250,Ear discomfort,SIDER
C1956346,Gastrointestinal discomfort,SIDER
C2242996,Coronary artery disease,SIDER
C0000833,Tingling sensation,SIDER
C0007682,Abscess,SIDER
C0009421,Central nervous system disorder,SIDER
C0018802,Coma,SIDER
C0019054,Cardiac failure congestive,SIDER
C0020621,Haemolysis,SIDER
C0022107,Hypokalaemia,SIDER
C0027540,Irritability,SIDER
C0031542,Necrosis,SIDER
C0036104,Phlebitis,SIDER
C0037036,Salivation,SIDER
C0040046,Salivary hypersecretion,SIDER
C0042487,Thrombophlebitis,SIDER
C0423153,Venous thrombosis,SIDER
C0152227,Lacrimation,SIDER
C0542203,Lacrimation increased,SIDER
C0268000,Water retention,SIDER
C0002884,Fluid retention,SIDER
C0003460,Hypochromic anaemia,SIDER
C0004690,Anuria,SIDER
C0012691,Balanitis,SIDER
C0013491,Joint dislocation,SIDER
C0016059,Ecchymosis,SIDER
C0016658,Fibrosis,SIDER
C0016655,Fracture,SIDER
C0018944,Multiple fractures,SIDER
C0019294,Haematoma,SIDER
C0020433,Inguinal hernia,SIDER
C0020440,Hyperbilirubinaemia,SIDER
C0860713,Hypercapnia,SIDER
C0020443,Carbon dioxide increased,SIDER
C0020452,Hypercholesterolaemia,SIDER
C0020456,Hyperaemia,SIDER
C0020557,Hyperglycaemia,SIDER
C0853692,Hypertriglyceridaemia,SIDER
C0020564,Blood triglycerides increased,SIDER
C0020615,Hypertrophy,SIDER
C0020672,Hypoglycaemia,SIDER
C0413252,Body temperature decreased,SIDER
C0023222,Hypothermia,SIDER
C0030196,Leg pain,SIDER
C0026961,Pain in extremity,SIDER
C0028259,Mydriasis,SIDER
C0030794,Nodule,SIDER
C0030846,Pelvic pain,SIDER
C0030848,Penis disorder,SIDER
C0031154,Peyronie's disease,SIDER
C0031538,Peritonitis,SIDER
C0345326,Tight foreskin,SIDER
C0032319,Phimosis,SIDER
C0033117,Pneumopericardium,SIDER
C0033575,Priapism,SIDER
C0033581,Prostatic disorder,SIDER
C0036679,Prostatitis,SIDER
C1619718,Separation,SIDER
C0037286,Partner stress,SIDER
C0037859,Neoplasm skin,SIDER
C0038999,Spermatocele,SIDER
C0039240,Swelling,SIDER
C0039242,Supraventricular tachycardia,SIDER
C0039584,Tachyphylaxis,SIDER
C0039591,Testicular disorder,SIDER
C0041912,Testicular pain,SIDER
C0041969,Upper respiratory tract infection,SIDER
C0043246,Urethral disorder,SIDER
C0043251,Laceration,SIDER
C0151605,Trauma,SIDER
C0151609,Injection site swelling,SIDER
C0151698,Scrotal oedema,SIDER
C0151734,Injection site haemorrhage,SIDER
C0156308,Injection site inflammation,SIDER
C0178703,Penile oedema,SIDER
C0231451,Hypertrophic osteoarthropathy,SIDER
C0231835,Joint hyperextension,SIDER
C0231837,Tachypnoea,SIDER
C0233973,Respiratory rate decreased,SIDER
C0235063,Painful erection,SIDER
C0855775,Respiratory depression,SIDER
C0235129,Pulmonary function test decreased,SIDER
C0236083,Feeling strange,SIDER
C1963790,Burning feeling vagina,SIDER
C0240717,Vulvovaginal burning sensation,SIDER
C0241558,Perineal pain,SIDER
C0241863,Urethral haemorrhage,SIDER
C0011849,Diabetic,SIDER
C0268919,Diabetes mellitus,SIDER
C0332575,Scrotal disorder,SIDER
C0340279,Redness,SIDER
C0427008,Ventricular hypertrophy,SIDER
C0476273,Stiffness,SIDER
C0497481,Respiratory distress,SIDER
C0518988,Penile pain,SIDER
C0520962,Tooth abscess,SIDER
C0521508,Pain localised,SIDER
C0521845,Injection site bruising,SIDER
C0522061,Drug effect decreased,SIDER
C0542008,Abdominal pain localised,SIDER
C0549209,Injection site haematoma,SIDER
C0750466,Feeling jittery,SIDER
C0026946,Yeast infection,SIDER
C0852908,Fungal infection,SIDER
C0852995,Drug ineffective,SIDER
C0853714,Injection site pruritus,SIDER
C0853813,Application site pruritus,SIDER
C0863113,Local reaction,SIDER
C0877267,Hypotension symptomatic,SIDER
C0877377,Peritonsillitis,SIDER
C0948873,Skin tear,SIDER
C1504465,Flu symptoms,SIDER
C2004489,Device malfunction,SIDER
C2242621,Regurgitation,SIDER
C0541941,Erection prolonged,SIDER
C2937350,Erection increased,SIDER
C0235969,Abnormal ejaculation,SIDER
C2937358,Ejaculation disorder,SIDER
C2938970,Cerebral haemorrhage,SIDER
C2938972,Penile curvature,SIDER
C3665386,Penile haematoma,SIDER
C3665347,Abnormal vision,SIDER
C0005411,Visual impairment,SIDER
C0266241,Atresia biliary,SIDER
C0025958,Congenital absence of bile ducts,SIDER
C0002895,Microcephaly,SIDER
C0006114,Sickle cell anaemia,SIDER
C0008301,Edema cerebral,SIDER
C0027429,Choking,SIDER
C0151799,Nasal obstruction,SIDER
C0221201,Skin necrosis,SIDER
C0549433,Rash macular,SIDER
C0543467,Surgical intervention,SIDER
C0750876,Surgery,SIDER
C1168149,Phlebitis superficial,SIDER
C0521591,Perioral tingling,SIDER
C0034212,Paraesthesia oral,SIDER
C1323189,Pyoderma,SIDER
C0221244,Dermatitis infected,SIDER
C0234943,Dandruff,SIDER
C0235266,Application site anaesthesia,SIDER
C0521495,Eye irritation,SIDER
C0701836,Application site rash,SIDER
C0877098,Thermal burn,SIDER
C1142498,Application site dryness,SIDER
C1696574,Application site excoriation,SIDER
C0017675,Application site erosion,SIDER
C0019880,Glossitis,SIDER
C0031212,Homocystinuria,SIDER
C0037317,Personality disorder,SIDER
C0851578,Sleep disturbance,SIDER
C0040435,Sleep disorder,SIDER
C0042024,Tooth disorder,SIDER
C0042075,Urinary incontinence,SIDER
C0162429,Urinary tract disorder,SIDER
C0235309,Malnutrition,SIDER
C0268621,Upset stomach,SIDER
C0541799,Hypermethioninaemia,SIDER
C0548823,Bad taste,SIDER
C0700198,Distress gastrointestinal,SIDER
C0006663,Aspiration,SIDER
C0011206,Calcinosis,SIDER
C0085618,Delirium,SIDER
C0085616,Venospasm,SIDER
C0085628,Vasospasm,SIDER
C0549249,Stupor,SIDER
C0522171,Depressed level of consciousness,SIDER
C1328540,Sense of oppression,SIDER
C0595862,Peripheral vasodilatation,SIDER
C3267206,Vasodilatation,SIDER
C0001883,Chalky taste,SIDER
C0600260,Airway obstruction NOS,SIDER
C0006272,Obstructive airways disorder,SIDER
C0021843,Obliterative bronchiolitis,SIDER
C0236124,Intestinal obstruction,SIDER
C0001824,Gastrointestinal obstruction,SIDER
C0002874,Agranulocytosis,SIDER
C0014356,Aplastic anaemia,SIDER
C0018939,Enterocolitis,SIDER
C0023418,Blood disorder,SIDER
C0024790,Leukaemia,SIDER
C0027813,Paroxysmal nocturnal haemoglobinuria,SIDER
C0041466,Neuritis,SIDER
C0151773,Typhoid fever,SIDER
C0155169,Bone marrow depression,SIDER
C0014236,Ocular hyperaemia,SIDER
C0178416,Endophthalmitis,SIDER
C0221203,Hypoplastic anaemia,SIDER
C0221477,Rash vesicular,SIDER
C0259756,Vasomotor collapse,SIDER
C0270276,Jarisch-Herxheimer reaction,SIDER
C0270996,Grey syndrome neonatal,SIDER
C0425492,Eye swelling,SIDER
C0035204,Respiration irregularity,SIDER
C0542184,Respiratory disorder,SIDER
C0687133,Reaction gastrointestinal,SIDER
C0853040,Drug interaction,SIDER
C1368107,Reaction to drug excipients,SIDER
C1761613,Bone marrow aplastic,SIDER
C0014869,Conjunctival hyperaemia,SIDER
C0017168,Reflux esophagitis,SIDER
C0022346,Gastrooesophageal reflux disease,SIDER
C0037284,Jaundice,SIDER
C0438717,Skin lesion,SIDER
C0859350,Transaminases increased,SIDER
C0020598,Serum transaminase increased,SIDER
C0085632,Hypocalcaemia,SIDER
C0233471,Apathy,SIDER
C0234518,Flat affect,SIDER
C0013362,Slurred speech,SIDER
C0344375,Dysarthria,SIDER
C0429029,Stomach cramps,SIDER
C0429097,Electrocardiogram ST segment,SIDER
C0429098,QRS complex,SIDER
C0728899,Electrocardiogram QRS complex,SIDER
C0032343,Intoxication,SIDER
C0860967,Poisoning,SIDER
C3665624,Calcium low,SIDER
C0948342,Blood calcium decreased,SIDER
C0948807,Citrate toxicity,SIDER
C0023895,Hepatic impairment,SIDER
C1504494,Liver disorder,SIDER
C2129214,Tingling of extremity,SIDER
C2697368,Loose stools,SIDER
C0017181,Gastrointestinal tract irritation,SIDER
C0020625,Gastrointestinal haemorrhage,SIDER
C1112525,Hyponatraemia,SIDER
C0013295,Gastrointestinal ulcer haemorrhage,SIDER
C0014742,Duodenal ulcer,SIDER
C0014868,Erythema multiforme,SIDER
C0018524,Oesophagitis,SIDER
C0018834,Hallucination,SIDER
C0019158,Heartburn,SIDER
C0038358,Hepatitis,SIDER
C0232493,Gastric ulcer,SIDER
C0266813,Epigastric pain,SIDER
C0877047,Faecal occult blood positive,SIDER
C0520893,Occult blood positive,SIDER
C3665596,Localized exfoliation,SIDER
C0347390,Warts,SIDER
C0001807,Skin papilloma,SIDER
C0013182,Aggression,SIDER
C0029408,Drug hypersensitivity,SIDER
C0030552,Osteoarthritis,SIDER
C0033975,Paresis,SIDER
C0151889,Psychotic disorder,SIDER
C0233407,Hyperreflexia,SIDER
C0234535,Disorientation,SIDER
C0235031,Clonic convulsion,SIDER
C0002453,Neurological symptom,SIDER
C0002622,Amenorrhoea,SIDER
C0002957,Amnesia,SIDER
C0004134,Anger,SIDER
C0004601,Ataxia,SIDER
C0005586,Back injury,SIDER
C0853193,Bipolar disorder,SIDER
C0006107,Bipolar I disorder,SIDER
C0006142,Concussion,SIDER
C0006145,Breast cancer,SIDER
C0006325,Breast disorder,SIDER
C0006444,Bruxism,SIDER
C0007117,Bursitis,SIDER
C0007286,Basal cell carcinoma,SIDER
C0008033,Carpal tunnel syndrome,SIDER
C0008035,Pleuritic pain,SIDER
C0476280,Chest wall pain,SIDER
C0009319,Musculoskeletal chest pain,SIDER
C0009763,Colitis,SIDER
C0009938,Conjunctivitis,SIDER
C0010692,Contusion,SIDER
C0403632,Cystitis,SIDER
C0232849,Cystitis noninfective,SIDER
C0010709,Bladder pain,SIDER
C0011124,Cyst,SIDER
C0855242,Libido decreased,SIDER
C0011168,Disturbance in sexual arousal,SIDER
C0011253,Dysphagia,SIDER
C0011334,Delusion,SIDER
C0011551,Dental caries,SIDER
C0011606,Depersonalisation,SIDER
C0011615,Dermatitis exfoliative,SIDER
C0012569,Dermatitis atopic,SIDER
C0013146,Diplopia,SIDER
C0013384,Drug abuse,SIDER
C0013390,Dyskinesia,SIDER
C0013428,Dysmenorrhoea,SIDER
C0013456,Dysuria,SIDER
C0014394,Ear pain,SIDER
C0014488,Enuresis,SIDER
C0014724,Epicondylitis,SIDER
C0015371,Eructation,SIDER
C0016199,Extrapyramidal disorder,SIDER
C0016242,Flank pain,SIDER
C0016385,Vitreous floaters,SIDER
C0016397,Cardiac flutter,SIDER
C0016436,Localised infection,SIDER
C0016470,Folliculitis,SIDER
C0016479,Food allergy,SIDER
C0016722,Food poisoning,SIDER
C0015786,Frigidity,SIDER
C0017160,Female sexual arousal disorder,SIDER
C0017565,Gastroenteritis,SIDER
C0017574,Gingival bleeding,SIDER
C0017605,Gingivitis,SIDER
C0017979,Angle closure glaucoma,SIDER
C0018418,Glycosuria,SIDER
C0018520,Gynaecomastia,SIDER
C0018621,Breath odour,SIDER
C1322281,Seasonal allergy,SIDER
C0019196,Rhinitis seasonal,SIDER
C0019360,Hepatitis C,SIDER
C0019372,Herpes zoster,SIDER
C0019572,Herpes virus infection,SIDER
C0019917,Hirsutism,SIDER
C0020039,Hordeolum,SIDER
C0020175,Hostility,SIDER
C0020522,Hunger,SIDER
C0020565,Type IV hypersensitivity reaction,SIDER
C2225524,Hypertrophy of breast,SIDER
C0020678,Breast enlargement,SIDER
C0021141,Hypotrichosis,SIDER
C0021177,Inappropriate antidiuretic hormone secretion,SIDER
C0021845,Libido increased,SIDER
C0022575,Intestinal perforation,SIDER
C0314719,Keratoconjunctivitis sicca,SIDER
C0025320,Dry eye,SIDER
C0025345,Menopause,SIDER
C0025874,Menstrual disorder,SIDER
C0026603,Metrorrhagia,SIDER
C0026827,Motion sickness,SIDER
C1142135,Hypotonia,SIDER
C0026837,Muscle relaxant therapy,SIDER
C0026857,Muscle rigidity,SIDER
C0027066,Musculoskeletal disorder,SIDER
C0027441,Myoclonus,SIDER
C0027796,Nasopharyngitis,SIDER
C0028081,Neuralgia,SIDER
C0028084,Night sweats,SIDER
C0028734,Nightmare,SIDER
C0029261,Nocturia,SIDER
C0029456,Orgasm abnormal,SIDER
C0029927,Osteoporosis,SIDER
C0029928,Ovarian cyst,SIDER
C0030305,Ovarian disorder,SIDER
C0030318,Pancreatitis,SIDER
C0030469,Panic reaction,SIDER
C0030790,Sinus disorder,SIDER
C0032584,Pelvic infection,SIDER
C0032617,Polyp,SIDER
C1167965,Polyuria,SIDER
C0033046,Urine output increased,SIDER
C0033771,Premenstrual syndrome,SIDER
C0033893,Prurigo,SIDER
C0034880,Tension headache,SIDER
C0035243,Hyperacusis,SIDER
C0035410,Respiratory tract infection,SIDER
C0036130,Rhabdomyolysis,SIDER
C0036396,Salpingitis,SIDER
C0036502,Sciatica,SIDER
C0036689,Sebaceous gland disorder,SIDER
C0036830,Pharyngitis streptococcal,SIDER
C0037195,Serum sickness,SIDER
C0037383,Sinus headache,SIDER
C0037384,Sneezing,SIDER
C0037578,Snoring,SIDER
C0037672,Soft tissue injury,SIDER
C0038325,Somnambulism,SIDER
C0038661,Stevens-Johnson syndrome,SIDER
C0852733,Suicide,SIDER
C0038663,Completed suicide,SIDER
C0039503,Suicide attempt,SIDER
C0040259,Taste disorders,SIDER
C0040425,Tendonitis,SIDER
C0040460,Tinea pedis,SIDER
C0040953,Tonsillitis,SIDER
C0042035,Toothache,SIDER
C0043241,Trichotillomania,SIDER
C0043387,Micturition disorder,SIDER
C0080194,Wound infection,SIDER
C0085166,Yawning,SIDER
C0085623,Muscle strain,SIDER
C0085636,Vaginitis bacterial,SIDER
C0086132,Akinesia,SIDER
C0086439,Photophobia,SIDER
C0086565,Depressive symptom,SIDER
C0086769,Hypokinesia,SIDER
C0087169,Hepatic function abnormal,SIDER
C0152128,Panic attack,SIDER
C0149745,Withdrawal symptom,SIDER
C0149931,Drug withdrawal syndrome,SIDER
C0151602,Mouth ulceration,SIDER
C0151610,Migraine,SIDER
C0040409,Swelling face,SIDER
C0151611,Tongue oedema,SIDER
C0151692,Tongue disorder,SIDER
C0151713,Electroencephalogram abnormal,SIDER
C1168034,Impaired healing,SIDER
C0151763,Hyperchlorhydria,SIDER
C0160390,Gastric pH decreased,SIDER
